Prep	Cast	Spell	Sch	Sub	Descriptor	Comp	Cast	Range	Target/Effect	Duration	Save	SR	Description	Book	pg	B	C	D	P	R	W	O
		Dispel Law	abj		chaotic	V,S,DF	1std	touch	you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or obj	1 rd/lvl or until dis, whichever comes first	see text	see text	+4 bonus against attacks by lawful creatures.	PHB	223		5					
		Dispel Magic	abj			V,S	1std	med	one spellcaster, creature, or obj; or 20-ft-radius burst	instant	-	n	Cancels magical spells and effects.	PHB	223	3	3	4	3		3	
		Dispel Magic, Greater	abj			V,S	1std	med	one spellcaster, creature, or obj; or 20-ft-radius burst	instant	-	n	As dispel magic, but +20 on check.	PHB	223	5	6	6			6	
		Displacement	ill	glamer		V,M	1std	touch	creature touched	1 rd/lvl (d)	will neg (h/l)	y (h/l)	Attacks miss subject 50%.	PHB	223	3					3	
		Disrupt Undead	nec		positive	V,S	1std	close	ray	instant	-	y	Deals 1d6 damage to one undead.	PHB	223						0	
		Disrupting Weapon	tran			V,S	1std	touch	one melee weapon	1 rd/lvl	will neg (h/l, obj); see text	y (h/l, obj)	Melee weapon destroys undead.	PHB	223		5					
		Divination	div			V,S,M	10min	personal	you	instant			Provides useful advice for specific proposed actions.	PHB	224		4					
		Divine Favor	evo			V,S,DF	1std	personal	you	1 min			You gain +1 per three levels on attack and damage rolls.	PHB	224		1		1			
		Divine Power	evo			V,S,DF	1std	personal	you	1 rd/lvl			You gain attack bonus, +6 to Str, and 1 hp/level.	PHB	224		4					
		Dominate Animal	ench	compulsion	mind-affecting	V,S	1rd	close	one animal	1 rd/lvl	will neg	y	Subject animal obeys silent mental commands.	PHB	224			3				
		Dominate Monster	ench	compulsion	mind-affecting	V,S	1rd	close	one creature	1 day/lvl	will neg	y	As dominate person, but any creature.	PHB	224						9	
		Dominate Person	ench	compulsion	mind-affecting	V,S	1rd	close	one humanoid	1 day/lvl	will neg	y	Controls humanoid telepathically.	PHB	224	4					5	
		Doom	nec		fear, mind-affecting	V,S,DF	1std	med	one living creature	1 min/lvl	will neg	y	One subject takes -2 on attack rolls, damage rolls, saves, and checks.	PHB	225		1					
		Drawmij's Instant Summons	con	summoning		V,S,M	1std	see text	one obj weighing 10 lb. or less whose longest dimension is 6 ft or less	perm until dis	-	n	Prepared object appears in your hand.	PHB	225						7	
		Dream	ill	phantasm	mind-affecting	V,S	1min	unlimited	one living creature touched	see text	-	y	Sends message to anyone sleeping.	PHB	225	5					5	
		Dweomer of Transference	evo			V,S	1min	close	one willing psionic creature	1 rd/lvl	will neg (h/l)	y (h/l)	Convert spellcasting into psionic power points.	PHB			4				4	
		Eagle's Splendor	tran			V,S,M/DF	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y	Subject gains +4 to Cha for 1 min./level.	PHB	225	2	2		2		2	
		Eagle's Splendor, Mass	tran			V,S,M/DF	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 min/lvl	will neg (h/l)	y	As eagle's splendor, affects one subject/level.	PHB	225	6	6				6	
		Earthquake	evo		earth	V,S,DF	1std	long	80-ft-radius spread (s)	1 rd	see text	n	Intense tremor shakes 5-ft./level radius.	PHB	225		8	8				
		Elemental Swarm	con	summoning		V,S	10min	med	two or more summoned creatures, no two of which can be more than 30 ft apart	10 min/lvl (d)	-	n	Summons multiple elementals.	PHB	226			9				
		Endure Elements	abj			V,S	1std	touch	creature touched	1 day	will neg (h/l)	y (h/l)	Exist comfortably in hot or cold environments.	PHB	226		1	1	1	1	1	
		Energy Drain	nec		negative	V,S	1std	close	ray of negative energy	instant	fort part; see text	y	Subject gains 2d4 negative levels.	PHB	226		9				9	
		Enervation	nec		negative	V,S	1std	close	ray of negative energy	instant	-	y	Subject gains 1d4 negative levels.	PHB	226						4	
		Enlarge Person	tran			V,S,M	1rd	close	one humanoid creature	1 min/lvl (d)	fort neg	y	Humanoid creature doubles in size.	PHB	226						1	
		Enlarge Person, Mass	tran			V,S,M	1rd	close	one humanoid creature/level, no two of which can be more than 30 ft apart	1 min/lvl (d)	fort neg	y	Enlarges several creatures.	PHB	227						4	
		Entangle	tran			V,S,DF	1std	long	plants in a 40-ft-radius spread	1 min/lvl (d)	ref part; see text	n	Plants entangle everyone in 40-ft.-radius.	PHB	227			1		1		
		Enthrall	ench	charm	sonic, mind-affecting, language-dependent	V,S	1rd	med	any number of creatures	1 hr or less	will neg; see text	y	Captivates all within 100 ft. + 10 ft./level.	PHB	227	2	2					
		Entropic Shield	abj			V,S	1std	personal	you	1 min/lvl (d)			Ranged attacks against you have 20% miss chance.	PHB	227		1					
		Erase	tran			V,S	1std	close	one scroll or two pages	instant	see text	n	Mundane or magical writing vanishes.	PHB	227	1					1	
		Ethereal Jaunt	tran			V,S	1std	personal	you	1 rd/lvl (d)			You become ethereal for 1 round/level.	PHB	227		7				7	
		Etherealness	tran			V,S	1std	touch; see text	you and one other touched creature per three levels	1 min/lvl (d)		y	Travel to Ethereal Plane with companions.	PHB	228		9				9	
		Evard’s Black Tentacles	con	creation		V,S,M	1std	med	20-ft-radius spread	1 rd/lvl (d)	-	n	Conjures a field of 10' tentacles which if grapple do 1d6+4 dmg	PHB	228						4	
		Expeditious Retreat	tran			V,S	1std	personal	you	1 min/lvl (d)			Your speed increases by 30 ft.	PHB	228	1					1	
		Explosive Runes	abj		force	V,S	1std	touch	one touched obj weighing no more than 10 lb.	perm until dis (d)	see text	y	Deals 6d6 damage when read.	PHB	228						3	
		Eyebite	nec		evil	V,S	1std	close	one living creature	1 rd/3 lvls; see text	fort neg	y	Target becomes panicked, sickened, and comatose.	PHB	228	6					6	
		Fabricate	tran			V,S,M	seetext	close	up to 10 cu. ft/level; see text	instant	-	n	Transforms raw materials into finished items.	PHB	229						5	
		Faerie Fire	evo		light	V,S,DF	1std	long	creatures and objs within a 5-ft-radius burst	1 min/lvl (d)	-	y	Outlines subjects with light, canceling blur, concealment, and the like.	PHB	229			1				
		False Life	nec			V,S,M	1std	personal	you	1 hr/lvl or until dis; see text			Gain 1d10 temporary hp +1/level (max +10).	PHB	229						2	
		False Vision	ill	glamer		V,S,M	1std	touch	40-ft-radius emanation	1 hr/lvl (d)	-	n	Fools scrying with an illusion.	PHB	229	5					5	
		Fear	nec		fear, mind-affecting	V,S,M	1std	30 ft	cone-shaped burst	1 rd/lvl or 1 rd; see text	will part	y	Subjects within cone flee for 1 round/level.	PHB	229	3					4	
		Feather Fall	tran			V	1freeaction	close	one medium or smaller freefalling obj or creature/level, no two of which may be more than 20 ft apart	until landing or 1 rd/lvl	will neg (h/l) or will neg (obj)	y (obj)	Objects or creatures fall slowly.	PHB	229	1					1	
		Feeblemind	ench	compulsion	mind-affecting	V,S,M	1std	med	one creature	instant	will neg; see text	y	Subjects Int and Cha drop to 1.	PHB	229						5	
		Find the Path	div			V,S,F	3rds	personal or touch	you or creature touched	10 min/lvl	- or will neg (h/l)	n or y (h/l)	Shows most direct way to a location.	PHB	230	6	6	6				
		Find Traps	div			V,S	1std	personal	you	1 min/lvl			Notice traps as a rogue does.	PHB	230		2					
		Finger of Death	nec		death	V,S	1std	close	one living creature	instant	fort part	y	Kills one subject.	PHB	230			8			7	
		Fire Seeds	con	creation	fire	V,S,M	1std	touch	up to four touched acorns or up to eight touched holly berries	10 min/lvl or until used	- or ref ½; see text	n	Acorns and berries become grenades and bombs.	PHB	230			6				
		Fire Shield	evo		cold, fire	V,S,M/DF	1std	personal	you	1 rd/lvl (d)			Creatures attacking you take fire damage; you're protected from heat or cold.	PHB	230						4	
		Fire Storm	evo		fire	V,S	1rd	med	two 10-ft cubes per level (s)	instant	ref ½	y	Deals 1d6/level fire damage.	PHB	231		8	7				
		Fire Trap	abj		fire	V,S,M	10min	touch	obj touched	perm until dis (d)	ref ½; see text	y	Opened object deals 1d4 +1/level damage.	PHB	231			2			4	
		Fireball	evo		fire	V,S,M	1std	long	20-ft-radius spread	instant	ref ½	y	1d6 damage per level, 20-ft. radius.	PHB	231						3	
		Flame Arrow	tran		fire	V,S,M	1std	close	fifty projectiles, all of which must be in contact with each other at the time of casting	10 min/lvl	-	n	Arrows deal +1d6 fire damage.	PHB	231						3	
		Flame Blade	evo		fire	V,S,DF	1std	0 ft	sword-like beam	1 min/lvl (d)	-	y	Touch attack deals 1d8 +1/two levels damage.	PHB	231			2				
		Flame Strike	evo		fire	V,S,DF	1std	med	cylinder (10-ft radius, 40 ft high)	instant	ref ½	y	Smite foes with divine fire (1d6/level damage).	PHB	231		5	4				
		Flaming Sphere	evo		fire	V,S,M/DF	1std	med	5-ft-diameter sphere	1 rd/lvl	ref neg	y	Creates rolling ball of fire, 2d6 damage, lasts 1 round/level.	PHB	232			2			2	
		Flare	evo		light	V	1std	close	burst of light	instant	fort neg	y	Dazzles one creature (1 on attack rolls).	PHB	232	0		0			0	
		Flesh to Stone	tran			V,S,M	1std	med	one creature	instant	fort neg	y	Turns subject creature into statue.	PHB	232						6	
		Fly	tran			V,S,F/DF	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y (h/l)	Subject gains a fly speed of 60 ft.	PHB	232						3	
		Fog Cloud	con	creation		V,S	1std	med	fog spreads in 20-ft radius, 20 ft high	10 min/lvl	-	n	Fog obscures vision.	PHB	232			2			2	
		Forbiddance	abj			V,S,M,DF	6rds	med	60-ft cube/level (s)	perm	see text	y	Blocks planar travel, damages creatures of different alignment.	PHB	232		6					
		Forcecage	evo		force	V,S,M	1std	close	barred cage (20-ft cube) or windowless cell (10-ft cube)	2 hrs/lvl (d)	-	n	Cube or cage of force imprisons all inside.	PHB	233						7	
		Foresight	div			V,S,M/DF	1std	personal or touch	see text	10 min/lvl	- or will neg (h/l)	n or y (h/l)	Sixth sense warns of impending danger.	PHB	233			9			9	
		Fox's Cunning	tran			V,S,M/DF	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y	Subject gains +4 to Int for 1 min./level.	PHB	233	2					2	
		Fox's Cunning, Mass	tran			V,S,M/DF	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 min/lvl	will neg (h/l)	y	As fox's cunning, affects one subject/level.	PHB	233	6					6	
		Freedom	abj			V,S	1std	close or see text	one creature	instant	will neg (h/l)	y	Releases creature from imprisonment.	PHB	233						9	
		Freedom of Movement	abj			V,S,M,DF	1std	personal or touch	you or creature touched	10 min/lvl	will neg (h/l)	y (h/l)	Subject moves normally despite impediments.	PHB	233	4	4	4		4		
		Gaseous Form	tran			S,M/DF	1std	touch	willing corporeal creature touched	2 min/lvl (d)	-	n	Subject becomes insubstantial and can fly slowly.	PHB	234	3					3	
		Gate	con	creation or calling		V,S,XP,text	1std	med	see text	instant or (c) (≤ 1 rd/lvl); see text	-	n	Connects two planes for travel or summoning.	PHB	234		9				9	
		Geas, Lesser	ench	compulsion	language-dependent, mind-affecting	V	1rd	close	one living creature with 7 hd or less	1 day/lvl or until dis (d)	will neg	y	Commands subject of 7 HD or less.	PHB	235	3					4	
		Geas/Quest	ench	compulsion	mind-affecting, language-dependent	V	10min	close	one living creature	1 day/lvl or until dis (d)	-	y	As geas, lesser, plus it affects any creature.	PHB	234	6	6				6	
		Gentle Repose	nec			V,S,M/DF	1std	touch	corpse touched	1 day/lvl	will neg (obj)	y (obj)	Preserves one corpse.	PHB	235		2				3	
		Ghost Sound	ill	figment		V,S,M	1std	close	illusory sounds	1 rd/lvl (d)	will disbelief (if interacted with)	n	Figment sounds.	PHB	235	0					0	
		Ghoul Touch	nec		negative	V,S,M	1std	touch	living humanoid touched	1d6+2 rds	fort neg	y	Paralyzes one subject, which exudes stench	PHB	235						2	
		Giant Vermin	tran			V,S,DF	1std	close	up to three vermin, no two of which can be more than 30 ft apart	1 min/lvl	-	y	Turns centipedes, scorpions, or spiders into giant vermin.	PHB	235		4	4				
		Glibness	tran			S	1std	personal	you	10 min/lvl (d)			You gain +30 bonus on Bluff checks, and your lies can escape magical discernment.	PHB	235	3						
		Glitterdust	con	creation		V,S,M	1std	med	creatures and objs within 10-ft-radius spread	1 rd/lvl	will neg (blinding only)	n	Blinds creatures, outlines invisible creatures.	PHB	236	2					2	
		Globe of Invulnerability	abj			V,S,M	1std	10 ft	10-ft-radius spherical emanation, centered on you	1 rd/lvl (d)	-	n	As globe of invulnerability, lesser, plus 4th-level spell effects.	PHB	236						6	
		Globe of Invulnerability, Lesser	abj			V,S,M	1std	10 ft	10-ft-radius spherical emanation, centered on you	1 rd/lvl (d)	-	n	Stops 1st- through 3rd-level spell effects.	PHB	236						4	
		Glossolalia	evo			V	1std	60 ft	cone-shaped burst	instant	fort part; see text	y	Cone-shaped shriek distracts smart foes, makes concentrating difficult.	PHB		2						
		Glyph of Warding	abj			V,S,M	10min	touch	obj touched or up to 5 sq. ft/level	perm until dis (d)	see text	n (obj) and y; see text	Inscription harms those who pass it.	PHB	236		3					
		Glyph of Warding, Greater	abj			V,S,M	10min	touch	obj touched or up to 5 sq. ft/level	perm until dis (d)	see text	n (obj) and y; see text	As glyph of warding, but up to 10d8 damage or 6th-level spell.	PHB	237		6					
		Good Hope	ench	compulsion	mind-affecting	V,S	1std	med	one living creature/level, no two of which may be more than 30 ft apart	1 min/lvl	will neg (h/l)	y (h/l)	Subjects gain +2 on attack rolls, damage rolls, saves, and checks.	PHB	237	3						
		Goodberry	tran			V,S,DF	1std	touch	2d4 fresh berries touched	1 day/lvl	-	y	2d4 berries each cure 1 hp (max 8 hp/24 hours).	PHB	237			1				
		Grease	con	creation		V,S,M	1std	close	one obj or a 10-ft square	1 rd/lvl (d)	see text	n	Makes 10-ft. square or one object slippery.	PHB	237	1					1	
		Guards and Wards	abj			V,S,M,F	30min	anywhere within the area to be warded	up to 200 sq. ft/level (s)	2 hrs/lvl (d)	see text	see text	Array of magic effects protect area.	PHB	237						6	
		Guidance	div			V,S	1std	touch	creature touched	1 minute or until dis	will neg (h/l)	y	+1 on one attack roll, saving throw, or skill check.	PHB	238		0	0				
		Gust of Wind	evo		air	V,S	1std	60 ft	line-shaped gust of severe wind emanating out from you to the extreme of the range	1 rd	fort neg	y	Blows away or knocks down smaller creatures.	PHB	238			2			2	
		Hallow	evo		good	V,S,M,DF	1day	touch	40-ft radius emanating from the touched point	instant	see text	see text	Designates location as holy.	PHB	238		5	5				
		Hallucinatory Terrain	ill	glamer		V,S,M	10min	long	one 30-ft cube/level (s)	2 hrs/lvl (d)	will disbelief (if interacted with)	n	Makes one type of terrain appear like another (field into forest, or the like).	PHB	238	4					4	
		Halt Undead	nec			V,S,M	1std	med	up to three undead creatures, no two of which can be more than 30 ft apart	1 rd/lvl	will neg; see text	y	Immobilizes undead for 1 round/level.	PHB	238						3	
		Hardening	tran			V,S	1std	touch	one item of a volume no greater than 10 cu. ft/level (see text)	perm	-	y (obj)	Permanently make an object's hardness improve.	PHB							6	
		Harm	nec		negative	V,S	1std	touch	creature touched	instant	will ½; see text	y	Deals 10 points/level damage to target.	PHB	239		6					
		Haste	tran			V,S,M	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 rd/lvl	fort neg (h/l)	y (h/l)	One creature/level moves faster, +1 on attack rolls, AC, and ref saves.	PHB	239	3					3	
		Heal	con	healing	positive	V,S	1std	touch	creature touched	instant	will neg (h/l)	y (h/l)	Cures 10 points/level of damage, all diseases and mental conditions.	PHB	239		6	7				
		Heal Mount	con	healing		V,S	1std	touch	your mount touched	instant	will neg (h/l)	y (h/l)	As heal on warhorse or other special mount.	PHB	239				3			
		Heal, Mass	con	healing	positive	V,S	1std	close	one or more creatures, no two of which can be more than 30 ft apart	instant	will neg (h/l)	y (h/l)	As heal, but with several subjects.	PHB	239		9					
		Heat Metal	tran		fire	V,S,DF	1std	close	metal equipment of one creature per two levels, no two of which can be more than 30 ft apart; or 25 lb. of metal/level, all of which must be within a 30-ft circle	7 rds	will neg (obj)	y (obj)	Make metal so hot it damages those who touch it.	PHB	239			2				
		Helping Hand	evo			V,S,DF	1std	5 mi	ghostly hand	1 hr/lvl	-	n	Ghostly hand leads subject to you.	PHB	239		3					
		Heroes' Feast	con	creation		V,S,DF	10min	close	feast for one creature/level	1 hr plus 12 hrs; see text	-	n	Food for one creature/level cures and grants combat bonuses.	PHB	240	6	6					
		Heroism	ench	compulsion	mind-affecting	V,S	1std	touch	creature touched	10 min/lvl	will neg (h/l)	y (h/l)	Gives +2 on attack rolls, saves, skill checks.	PHB	240	2					3	
		Heroism, Greater	ench	compulsion	mind-affecting	V,S	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y (h/l)	Gives +4 bonus on attack rolls, saves, skill checks; immunity to fear; temporary hp.	PHB	240	5					6	
		Hide from Animals	abj			S,DF	1std	touch	one creature touched/level	10 min/lvl (d)	will neg (h/l)	y	Animals cant perceive one subject/level.	PHB	241			1		1		
		Hide from Undead	abj		ectomancy	V,S,DF	1std	touch	one touched creature/level	10 min/lvl (d)	will neg (h/l); see text	y	Undead can't perceive one subject/level.	PHB	241		1					
		Hold Animal	ench	compulsion	mind-affecting	V,S	1std	med	one animal	1 rd/lvl (d); see text	will neg; see text	y	Paralyzes one animal for 1 round/level.	PHB	241			2		2		
		Hold Monster	ench	compulsion	mind-affecting	V,S,M/DF	1std	med	one living creature	1 rd/lvl (d); see text	will neg; see text	y	As hold person, but any creature.	PHB	241	4					5	
		Hold Monster, Mass	ench	compulsion	mind-affecting	V,S,M/DF	1std	med	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d); see text	will neg; see text	y	As hold monster, but all within 30 ft.	PHB	241						9	
		Hold Person	ench	compulsion	mind-affecting	V,S,F/DF	1std	med	one humanoid creature	1 rd/lvl (d); see text	will neg; see text	y	Paralyzes one humanoid for 1 round/level.	PHB	241	2	2				3	
		Hold Person, Mass	ench	compulsion	mind-affecting	V,S,F/DF	1std	med	one or more humanoid creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d); see text	will neg; see text	y	As hold person, but all within 30 ft.	PHB	241						7	
		Hold Portal	abj			V	1std	med	one portal, up to 20 sq. ft/level	1 min/lvl (d)	-	n	Holds door shut.	PHB	241						1	
		Holy Aura	abj		good	V,S,F	1std	20 ft	one creature/level in a 20-ft-radius burst centered on you	1 rd/lvl (d)	see text	y (h/l)	+4 to AC, +4 resistance, and SR 25 against evil spells.	PHB	241		8					
		Holy Smite	evo		good	V,S	1std	med	20-ft-radius burst	instant (1 rd); see text	will part; see text	y	Damages and blinds evil creatures.	PHB	241							
		Holy Sword	evo		good	V,S	1std	touch	melee weapon touched	1 rd/lvl	-	n	Weapon becomes +5, deals +2d6 damage against evil.	PHB	242				4			
		Holy Word	evo		sonic, good	V	1std	40 ft	nongood creatures in a 40-ft-radius spread centered on you	instant	- or will neg; see text	y	Kills, paralyzes, blinds, or deafens nongood subjects.	PHB	242		7					
		Horrid Wilting	nec			V,S,M/DF	1std	long	living creatures, no two of which can be more than 60 ft apart	instant	fort ½	y	Deals 1d6/level damage within 30 ft.	PHB	242						8	
		Hypnotic Pattern	ill	pattern		V,S,M,text	1std	med	colorful lights in a 10-ft-radius spread	(c) + 2 rds	will neg	y	Fascinates (2d4 + level) HD of creatures.	PHB	242	2					2	
		Hypnotism	ench	compulsion	mind-affecting	V,S	1rd	close	several living creatures, no two of which may be more than 30 ft apart	2d4 rds (d)	will neg	y	Fascinates 2d4 HD of creatures.	PHB	242	1					1	
		Ice Storm	evo		cold	V,S,M/DF	1std	long	cylinder (20-ft radius, 40 ft high)	1 full rd	-	y	Hail deals 5d6 damage in cylinder 40 ft. across.	PHB	243			4			4	
		Identify	div			V,S,M/DF	1hr	touch	one touched obj	instant	-	n	Determines properties of magic item.	PHB	243	1					1	
		Illusory Script	ill	phantasm	mind-affecting	V,S,M	1min+	touch	one touched obj weighing no more than 10 lb.	1 day/lvl (d)	will neg; see text	y	Only intended reader can decipher.	PHB	243	3					3	
		Illusory Wall	ill	figment		V,S	1std	close	image 1 ft by 10 ft by 10 ft	perm	will disbelief (if interacted with)	n	Wall, floor, or ceiling looks real, but anything can pass through.	PHB	243						4	
		Imbue with Spell Ability	evo			V,S,DF	10min	touch	creature touched; see text	perm until dis (d)	will neg (h/l)	y (h/l)	Transfer spells to subject.	PHB	243		4					
		Implosion	evo			V,S	1std	close	one corporeal creature/round	(c) (≤ 4 rds)	fort neg	y	Kills one creature/round.	PHB	243		9					
		Imprisonment	abj			V,S	1std	touch	creature touched	instant	will neg; see text	y	Entombs subject beneath the earth.	PHB	244						9	
		Incendiary Cloud	con	creation	fire	V,S	1std	med	cloud spreads in 20-ft radius, 20 ft high	1 rd/lvl	ref ½; see text	n	Cloud deals 4d6 fire damage/round.	PHB	244						8	
		Inflict Critical Wounds	nec		negative	V,S	1std	touch	creature touched	instant	will ½	y	Touch attack, 4d8 damage +1/level (max +20).	PHB	244		4					
		Inflict Critical Wounds, Mass	nec		negative	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½	y	Deals 4d8 damage +1/level to many creatures.	PHB	244		8					
		Inflict Light Wounds	nec		negative	V,S	1std	touch	creature touched	instant	will ½	y	Touch deals 1d8 damage +1/level (max +5).	PHB	244		1					
		Inflict Light Wounds, Mass	nec		negative	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½	y	Deals 1d8 damage +1/level to many creatures.	PHB	244		5					
		Inflict Minor Wounds	nec		negative	V,S	1std	touch	creature touched	instant	will neg	y	Touch attack, 1 point of damage.	PHB	244		0					
		Inflict Moderate Wounds	nec		negative	V,S	1std	touch	creature touched	instant	will ½	y	Touch attack, 2d8 damage +1/level (max +10).	PHB	244		2					
		Inflict Moderate Wounds, Mass	nec		negative	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½	y	Deals 2d8 damage +1/level to many creatures.	PHB	244		6					
		Inflict Serious Wounds	nec		negative	V,S	1std	touch	creature touched	instant	will ½	y	Touch attack, 3d8 damage +1/level (max +15).	PHB	244		3					
		Inflict Serious Wounds, Mass	nec		negative	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½	y	Deals 3d8 damage +1/level to many creatures.	PHB	244		7					
		Insanity	ench	compulsion	mind-affecting	V,S	1std	med	one living creature	instant	will neg	y	Subject suffers continuous confusion.	PHB	244						7	
		Insect Plague	con	summoning		V,S,DF	1rd	long	one swarm of locusts per three levels, each of which must be adjacent to at least one other swarm	1 min/lvl	-	n	Locust swarms attack creatures.	PHB	244		5	5				
		Invisibility	ill	glamer		V,S,M/DF	1std	personal or touch	you or a creature or obj weighing no more than 100 lb./level	1 min/lvl (d)	will neg (h/l) or will neg (h/l, obj)	y (h/l) or y (h/l, obj)	Subject is invisible for 1 min./level or until it attacks.	PHB	245	2					2	
		Invisibility Purge	evo			V,S	1std	personal	you	1 min/lvl (d)			Dispels invisibility within 5 ft./level.	PHB	245		3					
		Invisibility Sphere	ill	glamer		V,S,M	1std	personal or touch	10-ft-radius emanation around the creature or obj touched	1 min/lvl (d)	will neg (h/l) or will neg (h/l, obj)	y (h/l) or y (h/l, obj)	Makes everyone within 10 ft. invisible.	PHB	245	3					3	
		Invisibility, Greater	ill	glamer		V,S	1std	personal or touch	you or creature touched	1 rd/lvl (d)	will neg (h/l)	y (h/l) or y (h/l, obj)	As invisibility, but subject can attack and stay invisible.	PHB	245	4					4	
		Invisibility, Mass	ill	glamer		V,S,M	1std	long	any number of creatures, no two of which can be more than 180 ft apart	1 min/lvl (d)	will neg (h/l) or will neg (h/l, obj)	y (h/l) or y (h/l, obj)	As invisibility, but affects all in range.	PHB	245						7	
		Iron Body	tran			V,S,M/DF	1std	personal	you	1 min/lvl (d)			Your body becomes living iron.	PHB	245						8	
		Ironwood	tran			V,S,M	1min/lb+fz1242	0 ft	an ironwood obj weighing up to 5 lb./level	1 day/lvl (d)	-	n	Magic wood is strong as steel.	PHB	246			6				
		Jump	tran			V,S,M	1std	touch	creature touched	1 min/lvl (d)	will neg (h/l)	y	Subject gets bonus on Jump checks.	PHB	246			1		1	1	
		Keen Edge	tran			V,S	1std	close	one weapon or fifty projectiles, all of which must be in contact with each other at the time of casting	10 min/lvl	will neg (h/l, obj)	y (h/l, obj)	Doubles normal weapons threat range.	PHB	246						3	
		Knock	tran			V	1std	med	one door, box, or chest with an area of up to 10 sq. ft/level	instant; see text	-	n	Opens locked or magically sealed door.	PHB	246						2	
		Know Direction	div			V,S	1std	personal	you	instant			You discern north.	PHB	246	0		0				
		Legend Lore	div			V,S,M,F	seetext	personal	you	see text			Lets you learn tales about a person, place, or thing.	PHB	246	4					6	
		Leomund's Secret Chest	con	summoning		V,S,F	10min	see text	one chest and up to 1 cu. ft of goods/caster level	60 days or until dis	-	n	Hides expensive chest on Ethereal Plane; you retrieve it at will.	PHB	247						5	
		Leomund's Secure Shelter	con	creation		V,S,M,F,text	10min	close	20-ft-square structure	2 hrs/lvl (d)	-	n	Creates sturdy cottage.	PHB	247	4					4	
		Leomund's Tiny Hut	evo		force	V,S,M	1std	20 ft	20-ft-radius sphere centered on your location	2 hrs/lvl (d)	-	n	Creates shelter for ten creatures.	PHB	247	3					3	
		Leomund's Trap	ill	glamer		V,S,M	1std	touch	obj touched	perm (d)	-	n	Makes item seem trapped.	PHB	247						2	
		Levitate	tran			V,S,F	1std	personal or close	you or one willing creature or one obj (total weight up to 100 lb./level)	1 min/lvl (d)	-	n	Subject moves up and down at your direction.	PHB	248						2	
		Light	evo		light	V,M/DF	1std	touch	obj touched	10 min/lvl (d)	-	n	Object shines like a torch.	PHB	248	0	0	0			0	
		Lightning Bolt	evo		electricity	V,S,M	1std	120 ft	120-ft line	instant	ref ½	y	Electricity deals 1d6/level damage.	PHB	248						3	
		Limited Wish	uni			V,S,XP	1std	see text	see text	see text	-; see text	y	Alters reality within spell limits.	PHB	248						7	
		Liveoak	tran			V,S	10min	touch	tree touched	1 day/lvl (d)	-	n	Oak becomes treant guardian.	PHB	248			6				
		Locate Creature	div			V,S,M	1std	long	circle, centered on you, with a radius of 400 ft + 40 ft/level	10 min/lvl	-	n	Indicates direction to familiar creature.	PHB	249	4					4	
		Locate Object	div			V,S,F/DF	1std	long	circle, centered on you, with a radius of 400 ft + 40 ft/level	1 min/lvl	-	n	Senses direction toward object (specific or type).	PHB	249	2	3				2	
		Longstrider	tran			V,S,M	1std	personal	you	1 hr/lvl (d)			Increases your speed.	PHB	249			1		1		
		Lullaby	ench	compulsion	mind-affecting	V,S	1std	med	living creatures within a 10-ft-radius burst	(c) + 1 rd/lvl (d)	will neg	y	Makes subject drowsy; 5 on Spot and Listen checks, 2 on Will saves against sleep.	PHB	249	0						
		Maddening Scream	ench	compulsion	mind-affecting	V	1std	touch	living creature touched	1d4+1 rds	-	y	Subject has -4 AC, no shield, ref save on 20 only.	PHB							8	
		Mage Armor	con	creation	force	V,S,F	1std	touch	creature touched	1 hr/lvl (d)	will neg (h/l)	n	Gives subject +4 armor bonus.	PHB	249						1	
		Mage Hand	tran			V,S	1std	close	one nonmagical, unattended obj weighing up to 5 lb.	(c)	-	n	5-pound telekinesis.	PHB	249	0					0	
		Magic Circle against Chaos	abj		lawful	V,S,M/DF	1std	touch	10-ft-radius emanation from touched creature	10 min/lvl	will neg (h/l)	n; see text	As protection spells, but 10-ft. radius and 10 min./level.	PHB	249		3		3		3	
		Magic Circle against Evil	abj		good	V,S,M/DF	1std	touch	10-ft-radius emanation from touched creature	10 min/lvl	will neg (h/l)	n; see text	As protection spells, but 10-ft. radius and 10 min./level.	PHB	249		3		3		3	
		Magic Circle against Good	abj		evil	V,S,M/DF	1std	touch	10-ft-radius emanation from touched creature	10 min/lvl	will neg (h/l)	n; see text	As protection spells, but 10-ft. radius and 10 min./level.	PHB	250		3				3	
