School	Name	Casting Time	Range	Components	Duration	Target	Saving Throw	 Spell Resistance	Level	Description	Print?
evo	Dictum	1 Standa Round action	40 ft	V	instant	nonlawful creatures in a 40-ft-radius spread centered on you	--- or will negates; see text	Yes	 Clr 7	Any nonlawful creature within the area of a dictum spell suffers the following ill effects.@mynl@HD - Effect@mynl@Equal to caster level - Deafened@mynl@Up to caster level -1 - Slowed, deafened@mynl@Up to caster level -5 - Paralyzed, slowed, deafened@mynl@Up to caster level -10 - Killed, paralyzed, slowed, deafened@mynl@The effects are cumulative and concurrent. No saving throw is allowed against these effects.@mynl@Deafened: The creature is deafened for 1d4 rounds.@mynl@Slowed: The creature is slowed, as by the slow spell, for 2d4 rounds.@mynl@Paralyzed: The creature is paralyzed and helpless for 1d10 minutes.@mynl@Killed: Living creatures die. Undead creatures are destroyed.@mynl@Furthermore, if you are on your home plane when you cast this spell, nonlawful extraplanar creatures within the area are instantly banished back to their home planes. Creatures so banished cannot return for at least 24 hours. This effect takes place regardless of whether the creatures hear the dictum. The banishment effect allows a Will save (at a -4 penalty) to negate.@mynl@Creatures whose HD exceed your caster level are unaffected by dictum.	true	Kills, paralyzes, slows, or deafens nonlawful subjects.
con	Dimension Door	1 Standa Round action	Long (400 ft. + 40 ft./level)	V	instant	you and touched objectss or other touched willing creatures	--- & will negates (objects)	NO aNOd Yes (objects)	Brd 4 Sor/Wiz 4	You instantly transfer yourself from your current location to any other spot within range. You always arrive at exactly the spot desired - whether by simply visualizing the area or by stating direction. After using this spell, you can't take any other actions until your next turn. You can bring along objects as long as their weight doesn't exceed your maximum load. You may also bring one additional willing Medium or smaller creature (carrying gear or objects up to its maximum load) or its equivalent per three caster levels. A Large creature counts as two Medium creatures, a Huge creature counts as two Large creatures, and so forth. All creatures to be transported must be in contact with one another, and at least one of those creatures must be in contact with you.@mynl@If you arrive in a place that is already occupied by a solid body, you and each creature traveling with you take 1d6 points of damage and are shunted to a random open space on a suitable surface within 100 feet of the intended location.@mynl@If there is no free space within 100 feet, you and each creature traveling with you take an additional 2d6 points of damage and are shunted to a free space within 1,000 feet. If there is no free space within 1,000 feet, you and each creature travelling with you take an additional 4d6 points of damage and the spell simply fails.	true	Teleports you short distance.
abj	Dimensional Anchor	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	1 min/lvl	ray	---	Yes (objects)	 Clr 4 Sor/Wiz 4	A green ray springs from your outstretched hand. You must make a ranged touch attack to hit the target. Any creature or object struck by the ray is covered with a shimmering emerald field that completely blocks extradimensional travel. Forms of movement barred by a dimensional anchor include astral projection, blink, dimension door, ethereal jaunt, etherealness, gate, maze, plane shift, shadow walk, teleport, and similar spell-like or psionic abilities. The spell also prevents the use of a gate or teleportation circle for the duration of the spell.@mynl@A dimensional anchor does not interfere with the movement of creatures already in ethereal or astral form when the spell is cast, nor does it block extradimensional perception or attack forms. Also, dimensional anchor does not prevent summoned creatures from disappearing at the end of a summoning spell.	true	Bars extradimensional movement.
abj	Dimensional Lock	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	1 day/lvl	20-ft-radius emanation centered on a point in space	---	Yes	 Clr 8 Sor/Wiz 8	You create a shimmering emerald barrier that completely blocks extradimensional travel. Forms of movement barred include astral projection, blink, dimension door, ethereal jaunt, etherealness, gate, maze, plane shift, shadow walk, teleport, and similar spell-like or psionic abilities. Once dimensional lock is in place, extradimensional travel into or out of the area is not possible.@mynl@A dimensional lock does not interfere with the movement of creatures already in ethereal or astral form when the spell is cast, nor does it block extradimensional perception or attack forms. Also, the spell does not prevent summoned creatures from disappearing at the end of a summoning spell.	true	Teleportation and interplanar travel blocked for one day/level.
tran	Diminish Plants	1 Standa Round action	see text	V,S,DF	instant	see text	---	NO	 Drd 3	This spell has two versions.@mynl@Prune Growth: This version causes normal vegetation within long range (400 feet + 40 feet per level) to shrink to about one-third of their normal size, becoming untangled and less bushy. The affected vegetation appears to have been carefully pruned and trimmed.@mynl@At your option, the area can be a 100- foot-radius circle, a 150-foot-radius semicircle, or a 200-foot-radius quarter-circle.@mynl@You may also designate portions of the area that are not affected.@mynl@Stunt Growth: This version targets normal plants within a range of 1/2 mile, reducing their potential productivity over the course of the following year to one third below normal.@mynl@Diminish plants counters plant growth.@mynl@This spell has no effect on plant creatures.	true	Reduces size or blights growth of normal plants.
div	Discern Lies	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,DF	(c), ≤ 1  Round/lvl	one creature/level, no two of which can be more than 30 ft apart	will negates	NO	 Clr 4 Pal 3	Each round, you concentrate on one subject, who must be within range. You know if the subject deliberately and knowingly speaks a lie by discerning disturbances in its aura caused by lying. The spell does not reveal the truth, uncover unintentional inaccuracies, or necessarily reveal evasions.@mynl@Each round, you may concentrate on a different subject.	true	Reveals deliberate falsehoods.
div	Discern Location	10min	unlimited	V,S,DF	instant	one creature or objects	---	NO	 Clr 8 Sor/Wiz 8	A discern location spell is among the most powerful means of locating creatures or objects. Nothing short of a mind blank spell or the direct intervention of a deity keeps you from learning the exact location of a single individual or object. Discern location circumvents normal means of protection from scrying or location. The spell reveals the name of the creature or object's location (place, name, business name, building name, or the like), community, county (or similar political division), country, continent, and the plane of existence where the target lies.@mynl@To find a creature with the spell, you must have seen the creature or have some item that once belonged to it. To find an object, you must have touched it at least once.	true	Reveals exact location of creature or object.
ill	Disguise Self	1 Standa Round action	personal	V,S	10 min/lvl (d)	you			Brd 1 Sor/Wiz 1	You make yourself - including clothing, armor, weapons, and equipment - look different. You can seem 1 foot shorter or taller, thin, fat, or in between. You cannot change your body type. Otherwise, the extent of the apparent change is up to you. You could add or obscure a minor feature or look like an entirely different person.@mynl@The spell does not provide the abilities or mannerisms of the chosen form, nor does it alter the perceived tactile (touch) or audible (sound) properties of you or your equipment.@mynl@If you use this spell to create a disguise, you get a +10 bonus on the Disguise check.@mynl@A creature that interacts with the glamer gets a Will save to recognize it as an illusion.	true	Changes your appearance.
tran	Disintegrate	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S,M/DF	instant	ray	fort part (objects)	Yes	 Sor/Wiz 6	A thin, green ray springs from your pointing finger. You must make a successful ranged touch attack to hit. Any creature struck by the ray takes 2d6 points of damage per caster level (to a maximum of 40d6). Any creature reduced to 0 or fewer hit points by this spell is entirely disintegrated, leaving behind only a trace of fine dust. A disintegrated creature's equipment is unaffected.@mynl@When used against an object, the ray simply disintegrates as much as one 10- foot cube of nonliving matter. Thus, the spell disintegrates only part of any very large object or structure targeted. The ray affects even objects constructed entirely of force, such as forceful hand or a wall of force, but not magical effects such as a globe of invulnerability or an antimagic field.@mynl@A creature or object that makes a successful Fortitude save is partially affected, taking only 5d6 points of damage. If this damage reduces the creature or object to 0 or fewer hit points, it is entirely disintegrated.@mynl@Only the first creature or object struck can be affected; that is, the ray affects only one target per casting.@mynl@Arcane Material Component: A lodestone and a pinch of dust.	true	Makes one creature or object vanish.
abj	Dismissal	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,DF	instant	one extraplanar creature	will negates; see text	Yes	 Clr 4 Sor/Wiz 5	This spell forces an extraplanar creature back to its proper plane if it fails a special Will save (DC = spell's save DC - creature's HD + your caster level). If the spell is successful, the creature is instantly whisked away, but there is a 20% chance of actually sending the subject to a plane other than its own.	true	Forces a creature to return to native plane.
abj	Dispel Chaos	1 Standa Round action	touch	V,S,DF	1  Round/lvl or until dis, whichever comes first	See Description	see text	see text	 Clr 5 Pal 4	This spell functions like dispel evil, except that you are surrounded by constant, blue, lawful energy, and the spell affects chaotic creatures and spells rather than evil ones.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects	true	+4 bonus against attacks by chaotic creatures.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects
abj	Dispel Evil	1 Standa Round action	touch	V,S,DF	1  Round/lvl or until dis, whichever comes first	See Description	see text	see text	 Clr 5 Pal 4	Shimmering, white, holy energy surrounds you. This power has three effects.@mynl@First, you gain a +4 deflection bonus to AC against attacks by evil creatures.@mynl@Second, on making a successful melee touch attack against an evil creature from another plane, you can choose to drive that creature back to its home plane. The creature can negate the effects with a successful Will save (spell resistance applies). This use discharges and ends the spell.@mynl@Third, with a touch you can automatically dispel any one enchantment spell cast by an evil creature or any one evil spell. Exception: Spells that can't be dispelled by dispel magic also can't be dispelled by dispel evil. Saving throws and spell resistance do not apply to this effect. This use discharges and ends the spell.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects	true	+4 bonus against attacks by evil creatures.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects
abj	Dispel Good	1 Standa Round action	touch	V,S,DF	1  Round/lvl or until dis, whichever comes first	See Description	see text	see text	 Clr 5	This spell functions like dispel evil, except that you are surrounded by dark, wavering, unholy energy, and the spell affects good creatures and spells rather than evil ones.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects	true	+4 bonus against attacks by good creatures.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects
abj	Dispel Law	1 Standa Round action	touch	V,S,DF	1  Round/lvl or until dis, whichever comes first	See Description	see text	see text	 Clr 5	This spell functions like dispel evil, except that you are surrounded by flickering, yellow, chaotic energy, and the spell affects lawful creatures and spells rather than evil ones.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects	true	+4 bonus against attacks by lawful creatures.@mynl@@mynl@Target:@mynl@you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or objects
abj	Dispel Magic	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	instant	one spellcaster, creature, or objects; or 20-ft-radius burst	---	NO	Brd 3 Clr 3 Drd 4 Pal 3 Sor/Wiz 3	You can use dispel magic to end ongoing spells that have been cast on a creature or object, to temporarily suppress the magical abilities of a magic item, to end ongoing spells (or at least their effects) within an area, or to counter another spellcaster's spell. A dispelled spell ends as if its duration had expired. Some spells, as detailed in their descriptions, can't be defeated by dispel magic. Dispel magic can dispel (but not counter) spell-like effects just as it does spells.@mynl@Note: The effect of a spell with an instantaneous duration can't be dispelled, because the magical effect is already over before the dispel magic can take effect.@mynl@You choose to use dispel magic in one of three ways: a targeted dispel, an area dispel, or a counterspell:@mynl@Targeted Dispel: One object, creature, or spell is the target of the dispel magic spell. You make a dispel check (1d20 + your caster level, maximum +10) against the spell or against each ongoing spell currently in effect on the object or creature. The DC for this dispel check is 11 + the spell's caster level. If you succeed on a particular check, that spell is dispelled; if you fail, that spell remains in effect.@mynl@If you target an object or creature that is the effect of an ongoing spell (such as a monster summoned by monster summoning), you make a dispel check to end the spell that conjured the object or creature.@mynl@If the object that you target is a magic item, you make a dispel check against the item's caster level. If you succeed, all the item's magical properties are suppressed for 1d4 rounds, after which the item recovers on its own. A suppressed item becomes nonmagical for the duration of the effect. An interdimensional interface (such as a bag of holding) is temporarily closed. A magic item's physical properties are unchanged: A suppressed magic sword is still a sword (a masterwork sword, in fact). Artifacts and deities are unaffected by mortal magic such as this.@mynl@You automatically succeed on your dispel check against any spell that you cast yourself.@mynl@Area Dispel: When dispel magic is used in this way, the spell affects everything within a 20-foot radius.@mynl@For each creature within the area that is the subject of one or more spells, you make a dispel check against the spell with the highest caster level. If that check fails, you make dispel checks against progressively weaker spells until you dispel one spell (which discharges the dispel magic spell so far as that target is concerned) or until you fail all your checks. The creature's magic items are not affected.@mynl@For each object within the area that is the target of one or more spells, you make dispel checks as with creatures. Magic items are not affected by an area dispel.@mynl@For each ongoing area or effect spell whose point of origin is within the area of the dispel magic spell, you can make a dispel check to dispel the spell.@mynl@For each ongoing spell whose area overlaps that of the dispel magic spell, you can make a dispel check to end the effect, but only within the overlapping area.@mynl@If an object or creature that is the effect of an ongoing spell (such as a monster summoned by monster summoning) is in the area, you can make a dispel check to end the spell that conjured that object or creature (returning it whence it came) in addition to attempting to dispel spells targeting the creature or object.@mynl@You may choose to automatically succeed on dispel checks against any spell that you have cast.@mynl@Counterspell: When dispel magic is used in this way, the spell targets a spellcaster and is cast as a counterspell. Unlike a true counterspell, however, dispel magic may not work; you must make a dispel check to counter the other spellcaster's spell.	true	Cancels magical spells and effects.
abj	Dispel Magic, Greater	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	instant	one spellcaster, creature, or objects; or 20-ft-radius burst	---	NO	Brd 5 Clr 6 Drd 6 Sor/Wiz 6	This spell functions like dispel magic, except that the maximum caster level on your dispel check is +20 instead of +10.@mynl@Additionally, greater dispel magic has a chance to dispel any effect that remove curse can remove, even if dispel magic can't dispel that effect.	true	As dispel magic, but +20 on check.
ill	Displacement	1 Standa Round action	touch	V,M	1  Round/lvl (d)	creature touched	will negates (h/l)	Yes, Harmless	Brd 3 Sor/Wiz 3	The subject of this spell appears to be about 2 feet away from its true location. The creature benefits from a 50% miss chance as if it had total concealment. However, unlike actual total concealment, displacement does not prevent enemies from targeting the creature normally. True seeing reveals its true location.@mynl@Material Component: A small strip of leather twisted into a loop.	true	Attacks miss subject 50%.
nec	Disrupt Undead	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	instant	ray	---	Yes	 Sor/Wiz 0	You direct a ray of positive energy. You must make a ranged touch attack to hit, and if the ray hits an undead creature, it deals 1d6 points of damage to it.	true	Deals 1d6 damage to one undead.
tran	Disrupting Weapon	1 Standa Round action	touch	V,S	1  Round/lvl	one melee weapon	will negates (h/l, objects); see text	Yes (h/l, objects)	 Clr 5	This spell makes a melee weapon deadly to undead. Any undead creature with HD equal to or less than your caster level must succeed on a Will save or be destroyed utterly if struck in combat with this weapon. Spell resistance does not apply against the destruction effect.	true	Melee weapon destroys undead.
div	Divination	10min	personal	V,S,M	instant	you			 Clr 4	Similar to augury but more powerful, a divination spell can provide you with a useful piece of advice in reply to a question concerning a specific goal, event, or activity that is to occur within one week. The advice can be as simple as a short phrase, or it might take the form of a cryptic rhyme or omen. If your party doesn't act on the information, the conditions may change so that the information is no longer useful. The base chance for a correct divination is 70% + 1% per caster level, to a maximum of 90%. If the dice roll fails, you know the spell failed, unless specific magic yielding false information is at work.@mynl@As with augury, multiple divinations about the same topic by the same caster use the same dice result as the first divination spell and yield the same answer each time.@mynl@Material Component: Incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp.	true	Provides useful advice for specific proposed actions.
evo	Divine Favor	1 Standa Round action	personal	V,S,DF	1 min	you			 Clr 1 Pal 1	Calling upon the strength and wisdom of a deity, you gain a +1 luck bonus on attack and weapon damage rolls for every three caster levels you have (at least +1, maximum +6). The bonus doesn't apply to spell damage.	true	You gain +1 per three levels on attack and damage rolls.
evo	Divine Power	1 Standa Round action	personal	V,S,DF	1  Round/lvl	you			 Clr 4	Calling upon the divine power of your patron, you imbue yourself with strength and skill in combat. Your base attack bonus becomes equal to your character level (which may give you additional attacks), you gain a +6 enhancement bonus to Strength, and you gain 1 temporary hit point per caster level.	true	You gain attack bonus, +6 to Str, and 1 hp/level.
ench	Dominate Animal	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S	1  Round/lvl	one animal	will negates	Yes	 Drd 3	You can enchant an animal and direct it with simple commands such as "Attack," "Run," and "Fetch." Suicidal or self-destructive commands (including an order to attack a creature two or more size categories larger than the dominated animal) are simply ignored.@mynl@Dominate animal establishes a mental link between you and the subject creature. The animal can be directed by silent mental command as long as it remains in range. You need not see the creature to control it. You do not receive direct sensory input from the creature, but you know what it is experiencing. Because you are directing the animal with your own intelligence, it may be able to undertake actions normally beyond its own comprehension. You need not concentrate exclusively on controlling the creature unless you are trying to direct it to do something it normally couldn't do. Changing your instructions or giving a dominated creature a new command is the equivalent of redirecting a spell, so it is a move action.	true	Subject animal obeys silent mental commands.
ench	Dominate Monster	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S	1 day/lvl	one creature	will negates	Yes	 Sor/Wiz 9	This spell functions like dominate person, except that the spell is not restricted by creature type.	true	As dominate person, but any creature.
ench	Dominate Person	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S	1 day/lvl	one humanoid	will negates	Yes	Brd 4 Sor/Wiz 5	You can control the actions of any humanoid creature through a telepathic link that you establish with the subject's mind.@mynl@If you and the subject have a common language, you can generally force the subject to perform as you desire, within the limits of its abilities. If no common language exists, you can communicate only basic commands, such as "Come here," "Go there," "Fight," and "Stand still." You know what the subject is experiencing, but you do not receive direct sensory input from it, nor can it communicate with you telepathically.@mynl@Once you have given a dominated creature a command, it continues to attempt to carry out that command to the exclusion of all other activities except those necessary for day-to-day survival (such as sleeping, eating, and so forth). Because of this limited range of activity, a Sense Motive check against DC 15 (rather than DC 25) can determine that the subject's behavior is being influenced by an enchantment effect (see the Sense Motive skill description).@mynl@Changing your instructions or giving a dominated creature a new command is the equivalent of redirecting a spell, so it is a move action.@mynl@By concentrating fully on the spell (a standard action), you can receive full sensory input as interpreted by the mind of the subject, though it still can't communicate with you. You can't actually see through the subject's eyes, so it's not as good as being there yourself, but you still get a good idea of what's going on.@mynl@Subjects resist this control, and any subject forced to take actions against its nature receives a new saving throw with a +2 bonus. Obviously self-destructive orders are not carried out. Once control is established, the range at which it can be exercised is unlimited, as long as you and the subject are on the same plane. You need not see the subject to control it.@mynl@If you don't spend at least 1 round concentrating on the spell each day, the subject receives a new saving throw to throw off the domination.@mynl@Protection from evil or a similar spell can prevent you from exercising control or using the telepathic link while the subject is so warded, but such an effect neither prevents the establishment of domination nor dispels it.	true	Controls humanoid telepathically.
nec	Doom	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S,DF	1 min/lvl	one living creature	will negates	Yes	 Clr 1	This spell fills a single subject with a feeling of horrible dread that causes it to become shaken.	true	One subject takes -2 on attack rolls, damage rolls, saves, and checks.
ill	Dream	1min	unlimited	V,S	see text	one living creature touched	---	Yes	Brd 5 Sor/Wiz 5	You, or a messenger touched by you, sends a phantasmal message to others in the form of a dream. At the beginning of the spell, you must name the recipient or identify him or her by some title that leaves no doubt as to identity. The messenger then enters a trance, appears in the intended recipient's dream, and delivers the message. The message can be of any length, and the recipient remembers it perfectly upon waking. The communication is one-way. The recipient cannot ask questions or offer information, nor can the messenger gain any information by observing the dreams of the recipient.@mynl@Once the message is delivered, the messenger's mind returns instantly to its body. The duration of the spell is the time required for the messenger to enter the recipient's dream and deliver the message.@mynl@If the recipient is awake when the spell begins, the messenger can choose to wake up (ending the spell) or remain in the trance. The messenger can remain in the trance until the recipient goes to sleep, then enter the recipient's dream and deliver the message as normal. A messenger that is disturbed during the trance comes awake, ending the spell.@mynl@Creatures who don't sleep (such as elves, but not half-elves) or don't dream cannot be contacted by this spell.@mynl@The messenger is unaware of its own surroundings or of the activities around it while in the trance. It is defenseless both physically and mentally (always fails any saving throw) while in the trance.	true	Sends message to anyone sleeping.
evo	Dweomer of Transference	1min	Close (25 ft. + 5 ft./2 levels)	V,S	1  Round/lvl	one willing psionic creature	will negates (h/l)	Yes, Harmless	 Clr 4 Sor/Wiz 4	Convert spellcasting into psionic power points.	true	Convert spellcasting into psionic power points.
evo	Earthquake	1 Standa Round action	Long (400 ft. + 40 ft./level)	V,S,DF	1  Round	80-ft-radius spread (s)	see text	NO	 Clr 8 Drd 8	When you cast earthquake, an intense but highly localized tremor rips the ground. The shock knocks creatures down, collapses structures, opens cracks in the ground, and more. The effect lasts for 1 round, during which time creatures on the ground can't move or attack. A spellcaster on the ground must make a Concentration check (DC 20 + spell level) or lose any spell he or she tries to cast. The earthquake affects all terrain, vegetation, structures, and creatures in the area. The specific effect of an earthquake spell depends on the nature of the terrain where it is cast.@mynl@Cave, Cavern, or Tunnel: The spell collapses the roof, dealing 8d6 points of bludgeoning damage to any creature caught under the cave-in (Reflex DC 15 half ) and pinning that creature beneath the rubble (see below). An earthquake cast on the roof of a very large cavern could also endanger those outside the actual area but below the falling debris.@mynl@Cliffs: Earthquake causes a cliff to crumble, creating a landslide that travels horizontally as far as it fell vertically. Any creature in the path takes 8d6 points of bludgeoning damage (Reflex DC 15 half ) and is pinned beneath the rubble (see below).@mynl@Open Ground: Each creature standing in the area must make a DC 15 Reflex save or fall down. Fissures open in the earth, and every creature on the ground has a 25% chance to fall into one (Reflex DC 20 to avoid a fissure). At the end of the spell, all fissures grind shut, killing any creatures still trapped within.@mynl@Structure: Any structure standing on open ground takes 100 points of damage, enough to collapse a typical wooden or masonry building, but not a structure built of stone or reinforced masonry. Hardness does not reduce this damage, nor is it halved as damage dealt to objects normally is. Any creature caught inside a collapsing structure takes 8d6 points of bludgeoning damage (Reflex DC 15 half ) and is pinned beneath the rubble (see below).@mynl@River, Lake, or Marsh: Fissures open underneath the water, draining away the water from that area and forming muddy ground. Soggy marsh or swampland becomes quicksand for the duration of the spell, sucking down creatures and structures. Each creature in the area must make a DC 15 Reflex save or sink down in the mud and quicksand. At the end of the spell, the rest of the body of water rushes in to replace the drained water, possibly drowning those caught in the mud.@mynl@Pinned beneath Rubble: Any creature pinned beneath rubble takes 1d6 points of nonlethal damage per minute while pinned. If a pinned character falls unconscious, he or she must make a DC 15 Constitution check or take 1d6 points of lethal damage each minute thereafter until freed or dead.	true	Intense tremor shakes 5-ft./level radius.
con	Elemental Swarm	10min	Medium (100 ft. + 10 ft./level)	V,S	10 min/lvl (d)	two or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	 Drd 9	This spell opens a portal to an Elemental Plane and summons elementals from it. A druid can choose the plane (Air, Earth, Fire, or Water); a cleric opens a portal to the plane matching his domain.@mynl@When the spell is complete, 2d4 Large elementals appear. Ten minutes later, 1d4 Huge elementals appear. Ten minutes after that, one greater elemental appears. Each elemental has maximum hit points per HD. Once these creatures appear, they serve you for the duration of the spell.@mynl@The elementals obey you explicitly and never attack you, even if someone else manages to gain control over them. You do not need to concentrate to maintain control over the elementals. You can dismiss them singly or in groups at any time.@mynl@When you use a summoning spell to summon an air, earth, fire, or water creature, it is a spell of that type.	true	Summons multiple elementals.
abj	Endure Elements	1 Standa Round action	touch	V,S	1 day	creature touched	will negates (h/l)	Yes, Harmless	 Clr 1 Drd 1 Pal 1 Sor/Wiz 1	A creature protected by endure elements suffers no harm from being in a hot or cold environment. It can exist comfortably in conditions between -50 and 140 degrees Fahrenheit without having to make Fortitude saves). The creature's equipment is likewise protected.@mynl@Endure elements doesn't provide any protection from fire or cold damage, nor does it protect against other environmental hazards such as smoke, lack of air, and so forth.	true	Exist comfortably in hot or cold environments.
nec	Energy Drain	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	instant	ray of negative energy	fort part; see text	Yes	 Clr 9 Sor/Wiz 9	This spell functions like enervation, except that the creature struck gains 2d4 negative levels, and the negative levels last longer.@mynl@There is no saving throw to avoid gaining the negative levels, but 24 hours after gaining them, the subject must make a Fortitude saving throw (DC = energy drain spell's save DC) for each negative level. If the save succeeds, that negative level is removed. If it fails, the negative level also goes away, but one of the subject's character levels is permanently drained.@mynl@An undead creature struck by the ray gains 2d4x5 temporary hit points for 1 hour.	true	Subject gains 2d4 negative levels.
nec	Enervation	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	instant	ray of negative energy	---	Yes	 Sor/Wiz 4	You point your finger and utter the incantation, releasing a black ray of crackling negative energy that suppresses the life force of any living creature it strikes. You must make a ranged touch attack to hit. If the attack succeeds, the subject gains 1d4 negative levels.@mynl@If the subject has at least as many negative levels as HD, it dies. Each negative level gives a creature a -1 penalty on attack rolls, saving throws, skill checks, ability checks, and effective level (for determining the power, duration, DC, and other details of spells or special abilities).@mynl@Additionally, a spellcaster loses one spell or spell slot from his or her highest available level. Negative levels stack.@mynl@Assuming the subject survives, it regains lost levels after a number of hours equal to your caster level (maximum 15 hours). Usually, negative levels have a chance of permanently draining the victim's levels, but the negative levels from enervation don't last long enough to do so.@mynl@An undead creature struck by the ray gains 1d4x5 temporary hit points for 1 hour.	true	Subject gains 1d4 negative levels.
tran	Enlarge Person	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,M	1 min/lvl (d)	one humanoid creature	fort negates	Yes	 Sor/Wiz 1	This spell causes instant growth of a humanoid creature, doubling its height and multiplying its weight by 8. This increase changes the creature's size category to the next larger one. The target gains a +2 size bonus to Strength, a -2 size penalty to Dexterity (to a minimum of 1), and a -1 penalty on attack rolls and AC due to its increased size.@mynl@A humanoid creature whose size increases to Large has a space of 10 feet and a natural reach of 10 feet. This spell does not change the target's speed.@mynl@If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it -  the spell cannot be used to crush a creature by increasing its size.@mynl@All equipment worn or carried by a creature is similarly enlarged by the spell. Melee and projectile weapons affected by this spell deal more damage. Other magical properties are not affected by this spell. Any enlarged item that leaves an enlarged creature's possession (including a projectile or thrown weapon) instantly returns to its normal size. This means that thrown weapons deal their normal damage, and projectiles deal damage based on the size of the weapon that fired them. Magical properties of enlarged items are not increased by this spell.@mynl@Multiple magical effects that increase size do not stack,.@mynl@Enlarge person counters and dispels reduce person.@mynl@Enlarge person can be made permanent with a permanency spell.@mynl@Material Component: A pinch of powdered iron.	true	Humanoid creature doubles in size.
tran	Enlarge Person, Mass	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,M	1 min/lvl (d)	one humanoid creature/level, no two of which can be more than 30 ft apart	fort negates	Yes	 Sor/Wiz 4	This spell functions like enlarge person, except that it affects multiple creatures.	true	Enlarges several creatures.
tran	Entangle	1 Standa Round action	Long (400 ft. + 40 ft./level)	V,S,DF	1 min/lvl (d)	plants in a 40-ft-radius spread	Reflex part; see text	NO	 Drd 1	Grasses, weeds, bushes, and even trees wrap, twist, and entwine about creatures in the area or those that enter the area, holding them fast and causing them to become entangled. The creature can break free and move half its normal speed by using a full-round action to make a DC 20 Strength check or a DC 20 Escape Artist check. A creature that succeeds on a Reflex save is not entangled but can still move at only half speed through the area. Each round on your turn, the plants once again attempt to entangle all creatures that have avoided or escaped entanglement.@mynl@Note: The effects of the spell may be altered somewhat, based on the nature of the entangling plants.	true	Plants entangle everyone in 40-ft.-radius.
ench	Enthrall	1 Round	Medium (100 ft. + 10 ft./level)	V,S	1 hr or less	any number of creatures	will negates; see text	Yes	Brd 2 Clr 2	If you have the attention of a group of creatures, you can use this spell to hold them spellbound. To cast the spell, you must speak or sing without interruption for 1 full round. Thereafter, those affected give you their undivided attention, ignoring their surroundings. They are considered to have an attitude of friendly while under the effect of the spell. Any potentially affected creature of a race or religion unfriendly to yours gets a +4 bonus on the saving throw.@mynl@A creature with 4 or more HD or with a Wisdom score of 16 or higher remains aware of its surroundings and has an attitude of indifferent. It gains a new saving throw if it witnesses actions that it opposes.@mynl@The effect lasts as long as you speak or sing, to a maximum of 1 hour. Those enthralled by your words take no action while you speak or sing and for 1d3 rounds thereafter while they discuss the topic or performance. Those entering the area during the performance must also successfully save or become enthralled. The speech ends (but the 1d3-round delay still applies) if you lose concentration or do anything other than speak or sing.@mynl@If those not enthralled have unfriendly or hostile attitudes toward you, they can collectively make a Charisma check to try to end the spell by jeering and heckling. For this check, use the Charisma bonus of the creature with the highest Charisma in the group; others may make Charisma checks to assist. The heckling ends the spell if this check result beats your Charisma check result. Only one such challenge is allowed per use of the spell.@mynl@If any member of the audience is attacked or subjected to some other overtly hostile act, the spell ends and the previously enthralled members become immediately unfriendly toward you. Each creature with 4 or more HD or with a Wisdom score of 16 or higher becomes hostile.	true	Captivates all within 100 ft. + 10 ft./level.
